plant_id,type,n,c2,c1,c0
BIG THOMPSON-WAT,WAT,1,0,8.90474558413831,0
GREEN MOUNTAIN-WAT,WAT,1,0,8.904058062258144,0
MARYS LAKE-WAT,WAT,1,0,8.904082627688755,0
FLATIRON-WAT,WAT,1,0,10.50900413743836,0
POLE HILL-WAT,WAT,1,0,8.903996923170205,0
LOWER MOLINA-WAT,WAT,1,0,8.904255763964715,0
UPPER MOLINA-WAT,WAT,1,0,8.904022035702956,0
HAYDEN-BIT,BIT,1,0,10.315137001333875,0
NUCLA-BIT,BIT,1,0,11.071937878542984,0
CAMP FAR WEST-WAT,WAT,1,0,8.904054192823855,0
MCWILLIAMS-NG,NG,1,0,6.783009349691982,0
JONES FORK-WAT,WAT,1,0,8.903959986328921,0
MCCLELLAN (CA)-NG,NG,1,0,12.694774674797337,0
CAMANCHE-WAT,WAT,1,0,8.90396866361717,0
ROCKY RIVER (CT)-WAT,WAT,1,0,-0.0,0
BRANFORD-KER,KER,1,0,16.073337697949697,0
BULLS BRIDGE-WAT,WAT,1,0,8.903991259590775,0
COS COB-KER,KER,1,0,15.075356927192107,0
DEVON STATION-KER,KER,1,0,-29.89798955790037,0
MONTVILLE STATION-RFO,RFO,1,0,16.320989422312415,0
NORTHFIELD MOUNTAIN-WAT,WAT,1,0,-0.0,0
KETTLE FALLS GENERATING STATION-WDS,WDS,1,0,13.938698256011913,0
KETTLE FALLS GENERATING STATION-NG,NG,1,0,10.75104884411284,0
SCOTLAND DAM-WAT,WAT,1,0,8.903613609796565,0
SHEPAUG-WAT,WAT,1,0,8.90397446541774,0
STEVENSON-WAT,WAT,1,0,8.904036817659273,0
TAFTVILLE-WAT,WAT,1,0,8.90402656436408,0
TUNNEL-WAT,WAT,1,0,8.903954514976146,0
RAINBOW (CT)-WAT,WAT,1,0,8.904071252734358,0
FALLS VILLAGE-WAT,WAT,1,0,8.904003550682857,0
FRANKLIN DRIVE-KER,KER,1,0,15.294238666087248,0
MIDDLETOWN-KER,KER,1,0,-9.102676230014842,0
MIDDLETOWN-NG,NG,1,0,15.210688414729356,0
MIDDLETOWN-RFO,RFO,1,0,34.60908369096556,0
STANTON ENERGY CENTER-BIT,BIT,1,0,10.27586251454239,0
STANTON ENERGY CENTER-NG,NG,1,0,8.346677612794648,0
TORRINGTON TERMINAL-KER,KER,1,0,16.485782047107588,0
MILLSTONE-NUC,NUC,1,0,10.44160902559634,0
BRIDGEPORT STATION-SUB,SUB,1,0,11.660082297434975,0
BRIDGEPORT STATION-KER,KER,1,0,21.19047619047619,0
CENTRAL HUDSON HIGH FALLS-WAT,WAT,1,0,8.903723342538253,0
NORTH MAIN STREET-DFO,DFO,1,0,15.48823036085396,0
TENTH STREET-WAT,WAT,1,0,8.904255892856504,0
NAVAJO DAM-WAT,WAT,1,0,8.903965506401066,0
DROP 1-WAT,WAT,1,0,8.904057688895536,0
EAST HIGHLINE-WAT,WAT,1,0,8.904866630789746,0
J C MCNEIL-WDS,WDS,1,0,15.308951050259603,0
EDGE MOOR-NG,NG,1,0,11.229049560254143,0
INDIAN RIVER GENERATING STATION-DFO,DFO,1,0,26.632298855324603,0
INDIAN RIVER GENERATING STATION-BIT,BIT,1,0,13.893085922814464,0
MCKEE RUN-NG,NG,1,0,7.0,0
BRANDON SHORES-BIT,BIT,1,0,11.487181038809913,0
CAPE CANAVERAL-NG,NG,1,0,6.373686756550843,0
FORT MYERS-NG,NG,1,0,7.727705345356382,0
FORT MYERS-DFO,DFO,1,0,10.785661957646317,0
LAUDERDALE-NG,NG,1,0,10.410517925259606,0
PORT EVERGLADES-NG,NG,1,0,6.341100155628896,0
RIVIERA-NG,NG,1,0,6.250132370687719,0
SANFORD-NG,NG,1,0,6.993957618463107,0
TURKEY POINT-NUC,NUC,1,0,10.441610348912853,0
TURKEY POINT-NG,NG,1,0,6.973931321618192,0
SOUTH FORK TOLT-WAT,WAT,1,0,8.903994362421564,0
AVON PARK-NG,NG,1,0,17.099752871106183,0
AVON PARK-DFO,DFO,1,0,17.090177432862728,0
UPPER MECHANICVILLE-WAT,WAT,1,0,8.90417040045247,0
OAK FLAT-WAT,WAT,1,0,8.90459746524038,0
BAYBORO-DFO,DFO,1,0,14.475326575700812,0
CRYSTAL RIVER-NG,NG,1,0,6.761661937149569,0
CRYSTAL RIVER-BIT,BIT,1,0,9.82514203353094,0
HIGGINS-NG,NG,1,0,16.496164071860182,0
NEWCASTLE-WAT,WAT,1,0,8.90388787910524,0
P L BARTOW-NG,NG,1,0,6.573347596350527,0
P L BARTOW-DFO,DFO,1,0,16.643473832561558,0
SUWANNEE RIVER-NG,NG,1,0,13.847797742794604,0
SUWANNEE RIVER-DFO,DFO,1,0,13.848093960936023,0
CRIST-BIT,BIT,1,0,10.594696758867993,0
LANSING SMITH-NG,NG,1,0,6.9594765538324115,0
LANSING SMITH-DFO,DFO,1,0,26.01418439716312,0
