plant_id,bus_id,Pg,status,Pmax,Pmin,ramp_30,type,region
NUCLA-BIT,,1,OP,100.0,,,BIT,uncertain
CAMP FAR WEST-WAT,302223,1,OP,7.2,1.0,1.0,WAT,Western
MCWILLIAMS-NG,302223,1,OP,663.0,0,0,NG,Eastern
JONES FORK-WAT,302223,1,OP,10.0,0,0,WAT,Western
MCCLELLAN (CA)-NG,309794,1,OP,77.0,55.0,55.0,NG,Western
CAMANCHE-WAT,309794,1,OP,10.5,0,0,WAT,Western
ROCKY RIVER (CT)-WAT,136536,1,OP,29.0,23.0,23.0,WAT,Eastern
BRANFORD-KER,136471,1,OP,17.4,17.4,17.4,KER,Eastern
BULLS BRIDGE-WAT,136536,1,OP,8.4,0.3,0.3,WAT,Eastern
COS COB-KER,136536,1,OP,95.6,0,0,KER,Eastern
DEVON STATION-KER,140838,1,OP,132.5,16.0,16.0,KER,Eastern
MONTVILLE STATION-RFO,136508,1,OP,491.0,125.0,125.0,RFO,Eastern
NORTHFIELD MOUNTAIN-WAT,136508,1,OP,1168.0,0,0,WAT,Eastern
KETTLE FALLS GENERATING STATION-WDS,203492,1,OP,50.0,12.0,12.0,WDS,Western
KETTLE FALLS GENERATING STATION-NG,203492,1,OP,6.2,1.0,1.0,NG,Western
SCOTLAND DAM-WAT,203492,1,OP,1.7,0,0,WAT,Eastern
SHEPAUG-WAT,136544,1,OP,41.5,35.0,35.0,WAT,Eastern
STEVENSON-WAT,136544,1,OP,28.9,0,0,WAT,Eastern
TAFTVILLE-WAT,136544,1,OP,2.0,0,0,WAT,Eastern
TUNNEL-WAT,133286,1,OP,1.6,0.3,0.3,WAT,Eastern
RAINBOW (CT)-WAT,133287,1,OP,8.0,4.0,4.0,WAT,Eastern
FALLS VILLAGE-WAT,135705,1,OP,9.899999999999999,0.3,0.3,WAT,Eastern
FRANKLIN DRIVE-KER,135683,1,OP,16.1,16.1,16.1,KER,Eastern
MIDDLETOWN-KER,136515,1,OP,17.2,5.0,5.0,KER,Eastern
MIDDLETOWN-NG,136515,1,OP,353.0,100.0,100.0,NG,Eastern
